name,content,classification
Ub6c6a62a88b4f0c492510a0f0b426414,小哲推薦早餐,3
Ub6c6a62a88b4f0c492510a0f0b426414,你好,1
Ub6c6a62a88b4f0c492510a0f0b426414,小哲你好,1
Ub6c6a62a88b4f0c492510a0f0b426414,哈囉,1
Ub6c6a62a88b4f0c492510a0f0b426414,你好嗎,1
Ub6c6a62a88b4f0c492510a0f0b426414,ㄎㄎ,0
Ub6c6a62a88b4f0c492510a0f0b426414,我想吃早餐,3
Ub6c6a62a88b4f0c492510a0f0b426414,小哲我想吃早餐,3
U58e71a67c8005e8ff726c88eda7e6ee0,早餐吃什麼？,3
U58e71a67c8005e8ff726c88eda7e6ee0,小哲推薦早餐,3
U97310c4b1b3c2263e32f9316319c3538,小哲您睡了嗎？,1
U97310c4b1b3c2263e32f9316319c3538,小哲,1
U58e71a67c8005e8ff726c88eda7e6ee0,小哲推薦早餐,3
U58e71a67c8005e8ff726c88eda7e6ee0,小小哲,1
U58e71a67c8005e8ff726c88eda7e6ee0,小哲,1
U58e71a67c8005e8ff726c88eda7e6ee0,小哲推薦早餐,3
U97310c4b1b3c2263e32f9316319c3538,小哲您辛苦了,0
U97310c4b1b3c2263e32f9316319c3538,小哲推薦早餐,3
U97310c4b1b3c2263e32f9316319c3538,小哲推薦早餐,3
U97310c4b1b3c2263e32f9316319c3538,小哲,1
U97310c4b1b3c2263e32f9316319c3538,小哲推薦早餐,3
U97310c4b1b3c2263e32f9316319c3538,小哲推薦早餐,3
U97310c4b1b3c2263e32f9316319c3538,小哲,1
Ub6c6a62a88b4f0c492510a0f0b426414,你有聽到嗎,0
Ub6c6a62a88b4f0c492510a0f0b426414,小哲是誰,2
Ub6c6a62a88b4f0c492510a0f0b426414,台南有停電嗎,0
U58e71a67c8005e8ff726c88eda7e6ee0,沒有,0
U97310c4b1b3c2263e32f9316319c3538,有,0
Ub6c6a62a88b4f0c492510a0f0b426414,太可怕了,0
Ub6c6a62a88b4f0c492510a0f0b426414,這裡也一樣,0
U58e71a67c8005e8ff726c88eda7e6ee0,宇哲，你現在在宿舍嗎？,0
Ub6c6a62a88b4f0c492510a0f0b426414,出來了,0
U58e71a67c8005e8ff726c88eda7e6ee0,我們家沒停電,0
Ub6c6a62a88b4f0c492510a0f0b426414,Ok,0
U58e71a67c8005e8ff726c88eda7e6ee0,你們那裡全區都停電嗎？,0
U58e71a67c8005e8ff726c88eda7e6ee0,你現在到那去？,0
Ub6c6a62a88b4f0c492510a0f0b426414,中正活動中心,0
Ub6c6a62a88b4f0c492510a0f0b426414,還有點太陽能,0
Ub6c6a62a88b4f0c492510a0f0b426414,我有先買兩大罐礦泉水跟三碗泡麵了,0
U58e71a67c8005e8ff726c88eda7e6ee0,學校的活動中心嗎？,0
Ub6c6a62a88b4f0c492510a0f0b426414,對,0
Ub6c6a62a88b4f0c492510a0f0b426414,學校裡面還有電,0
Ub6c6a62a88b4f0c492510a0f0b426414,復電了,0
Ub6c6a62a88b4f0c492510a0f0b426414,又停電了==,0
Ub6c6a62a88b4f0c492510a0f0b426414,又復電了,0
U97310c4b1b3c2263e32f9316319c3538,好像說會停一個小時 再復電,0
Ub6c6a62a88b4f0c492510a0f0b426414,嗯嗯,0
U97310c4b1b3c2263e32f9316319c3538,不會停了，可以睡了,0
U97310c4b1b3c2263e32f9316319c3538,文真阿姨有興趣小哲，有空再幫她構思一下,0
Ub6c6a62a88b4f0c492510a0f0b426414,Ok,0
U97310c4b1b3c2263e32f9316319c3538,小哲推薦早餐,3
U97310c4b1b3c2263e32f9316319c3538,那我就是這個了,0
U97310c4b1b3c2263e32f9316319c3538,謝謝小哲,0
Ub6c6a62a88b4f0c492510a0f0b426414,小哲,1
U97310c4b1b3c2263e32f9316319c3538,小哲推薦早餐,3
Ub6c6a62a88b4f0c492510a0f0b426414,小哲,1
U58e71a67c8005e8ff726c88eda7e6ee0,宇哲，你畢畢證書拿到了嗎？,0
U58e71a67c8005e8ff726c88eda7e6ee0,畢業證書,0
Ub6c6a62a88b4f0c492510a0f0b426414,還沒 中山那邊成績還沒送,0
Ub6c6a62a88b4f0c492510a0f0b426414,應該要下禮拜,0
U58e71a67c8005e8ff726c88eda7e6ee0,這樣中正可以繳學費嗎？,0
Ub6c6a62a88b4f0c492510a0f0b426414,可以,0
U58e71a67c8005e8ff726c88eda7e6ee0,哦！,0
Ub6c6a62a88b4f0c492510a0f0b426414,我資料都先登錄了,0
U58e71a67c8005e8ff726c88eda7e6ee0,宇哲，下週四或週五，你是在學校嗎？,0
U58e71a67c8005e8ff726c88eda7e6ee0,我這兩天休假，想說找一天帶弟弟去嘉義找你。,0
Ub6c6a62a88b4f0c492510a0f0b426414,對喔,0
Ub6c6a62a88b4f0c492510a0f0b426414,在學校,0
U58e71a67c8005e8ff726c88eda7e6ee0,所以找你可隨時出來嗎？,0
U58e71a67c8005e8ff726c88eda7e6ee0,可參觀實驗室嗎？,0
Ub6c6a62a88b4f0c492510a0f0b426414,可以,0
